Column,Example
BankQuestionID,B-005-002-011
,
question,What term describes the rate at which electrical energy is used?
optionA,Voltage
optionB,Resistance
optionC,Power
optionD,Current
correctOption,C
explanation,"Power is the rate of using or delivering energy, measured in watts. Memory Trick: Power = energy per second."
BankQuestionID,B-005-003-001
,
question,"If you have light bulbs marked 40 watts, 50 watts, 60 watts and 100 watts, which one will consume electrical energy at the highest rate?"
optionA,The 60-watt bulb
optionB,The 50-watt bulb
optionC,The 40-watt bulb
optionD,The 100-watt bulb
correctOption,D
explanation,"The watt rating tells you how fast a device uses power; 100 W is the largest value, so it uses energy the fastest. Memory Trick: Bigger W = bigger bill."
BankQuestionID,B-005-003-002
,
question,What is the basic unit of electrical power?
optionA,The watt
optionB,The ampere
optionC,The volt
optionD,The ohm
correctOption,A
explanation,Power in electrical systems is measured in watts (W). Memory Trick: Light bulbs are rated in watts.
BankQuestionID,B-005-003-003
,
question,A circuit consists of a battery and load resistor. What circuit malfunction would cause no current to be drawn from the battery?
optionA,A closed circuit
optionB,An open circuit
optionC,A short circuit
optionD,A reactive circuit
correctOption,B
explanation,"An open circuit means the path is broken, so no current can flow at all. Memory Trick: ""Open"" = switch open = no current."
BankQuestionID,B-005-003-004
,
question,Which electrical circuit draws too much current?
optionA,A closed circuit
optionB,An open circuit
optionC,A short circuit
optionD,A dead circuit
correctOption,C
explanation,"A short circuit bypasses the normal load, leaving almost no resistance, so a very large current flows. Memory Trick: ""Short"" = shortcut path, huge current."
BankQuestionID,B-005-003-005
,
question,Power is expressed in:
optionA,volts
optionB,amperes
optionC,ohms
optionD,watts
correctOption,D
explanation,The standard unit for power is the watt. Memory Trick: P in W.
BankQuestionID,B-005-003-006
,
question,Which of the following two quantities should be multiplied together to find power?
optionA,Voltage and current
optionB,Inductance and capacitance
optionC,Voltage and inductance
optionD,Resistance and capacitance
correctOption,A
explanation,"Electrical power is given by P = V × I (voltage times current). Memory Trick: ""Power triangle"" starts with P = V I."
BankQuestionID,B-005-003-007
,
question,"Which two electrical units multiplied together give the unit ""watts""?"
optionA,Amperes and henries
optionB,Volts and amperes
optionC,Volts and farads
optionD,Farads and henries
correctOption,B
explanation,Multiplying volts by amperes gives watts (P = V × I). Memory Trick: V × A = W.
BankQuestionID,B-005-003-008
,
question,A resistor in a circuit becomes very hot and starts to burn. This is because the resistor is dissipating too much:
optionA,resistance
optionB,current
optionC,power
optionD,voltage
correctOption,C
explanation,"The resistor is converting too much electrical power into heat, exceeding its power rating. Memory Trick: Too many watts = too much heat."
BankQuestionID,B-005-003-009
,
question,"When speaking of electrical circuits, what does the term &quot;continuity&quot; mean?"
optionA,The circuit is designed for direct current (DC)
optionB,The circuit is supplied with backup power
optionC,The circuit is rated for continuous operation
optionD,The circuit is a closed circuit
correctOption,D
explanation,"Continuity means the circuit path is complete, allowing current to flow. Memory Trick: Continuity = “continuous path.”"
BankQuestionID,B-005-003-010
,
question,"You have acquired a transceiver and connected it to a power supply. When you switch on the power supply, its fuse blows immediately. What circuit malfunction caused the fuse to blow?"
optionA,A short circuit
optionB,An open circuit
optionC,A resonant circuit
optionD,A closed circuit
correctOption,A
explanation,"A short circuit causes excessive current, which immediately blows the fuse. Memory Trick: Short = sudden surge."
BankQuestionID,B-005-003-011
,
question,What is the voltage across a 2-ohm resistor if a current of 0.5 amperes flows through it?
optionA,1.5 volts
optionB,1.0 volts
optionC,0.25 volts
optionD,2.5 volts
correctOption,B
explanation,"Using Ohm’s Law: V = I × R = 0.5 × 2 = 1.0 V. Memory Trick: Double the ohms, double the volts."
BankQuestionID,B-005-004-001
,
question,How is the current in a DC circuit calculated when the voltage and resistance are known?
optionA,Current equals resistance divided by voltage
optionB,Current equals power divided by voltage
optionC,Current equals voltage divided by resistance
optionD,Current equals resistance multiplied by voltage
correctOption,C
explanation,Ohm’s Law: I = V / R. Memory Trick: “I’m Very Ready” = I = V ÷ R.
BankQuestionID,B-005-004-002
,
question,How is the resistance in a DC circuit calculated when the voltage and current are known?
optionA,Resistance equals current multiplied by voltage
optionB,Resistance equals power divided by voltage
optionC,Resistance equals current divided by voltage
optionD,Resistance equals voltage divided by current
correctOption,D
explanation,Ohm’s Law rearranged: R = V / I. Memory Trick: Resistance Resists = voltage over current.
BankQuestionID,B-005-004-003
,
question,How is the voltage in a DC circuit calculated when the current and resistance are known?
optionA,Voltage equals current multiplied by resistance
optionB,Voltage equals current divided by resistance
optionC,Voltage equals resistance divided by current
optionD,Voltage equals power divided by current
correctOption,A
explanation,Ohm’s Law: V = I × R. Memory Trick: “Volts Increase with Resistance.”
BankQuestionID,B-005-004-004
,
question,What is the resistance of a circuit that draws 0.25 amperes from a 12-volt source?
optionA,0.25 ohms
optionB,48 ohms
optionC,3 ohms
optionD,12 ohms
correctOption,B
explanation,R = V / I = 12 / 0.25 = 48 ohms. Memory Trick: Divide volts by amps for resistance.
BankQuestionID,B-005-004-005
,
question,What value of resistance is required to drop 9 volts with a current of 10 milliamperes?
optionA,9 ohms
optionB,9000 ohms
optionC,900 ohms
optionD,90 ohms
correctOption,C
explanation,10 mA = 0.01 A. R = 9 / 0.01 = 900 ohms. Memory Trick: Small current → big resistance.
BankQuestionID,B-005-004-006
,
question,"If the current flowing through a 50-ohm resistor is 0.44 amperes, what voltage would you measure across the resistor?"
optionA,222 volts
optionB,2.2 volts
optionC,0.22 volts
optionD,22 volts
correctOption,D
explanation,V = I × R = 0.44 × 50 = 22 V. Memory Trick: 0.44 ≈ 0.5 → half of 50 ≈ 25 → close to 22.
BankQuestionID,B-005-004-007
,
question,A 30-ohm resistor is connected across a 6-volt battery. What current does it draw?
optionA,0.2 amperes
optionB,2 amperes
optionC,0.5 amperes
optionD,0.005 amperes
correctOption,A
explanation,I = V / R = 6 / 30 = 0.2 A. Memory Trick: 6/30 = 1/5.
BankQuestionID,B-005-004-008
,
question,What voltage is needed to supply a current of 200 milliamperes to operate a relay that has a resistance of 25 ohms?
optionA,50 volts
optionB,5 volts
optionC,8 volts
optionD,0.5 volts
correctOption,B
explanation,200 mA = 0.2 A. V = I × R = 0.2 × 25 = 5 V. Memory Trick: Multiply amps by ohms.
BankQuestionID,B-005-004-009
,
question,What formula calculates the resistance of a circuit when the voltage and current are known?
optionA,R = E squared / I
optionB,R = E × I
optionC,R = E / I
optionD,R = I / E
correctOption,C
explanation,Standard Ohm’s Law form: R = V / I (E is another symbol for voltage). Memory Trick: R on top in the “Ohm’s Triangle.”
BankQuestionID,B-005-004-010
,
question,What is the resistance of a circuit if it draws 300 milliamperes from a 3-volt battery?
optionA,9 ohms
optionB,5 ohms
optionC,3 ohms
optionD,10 ohms
correctOption,D
explanation,300 mA = 0.3 A. R = 3 / 0.3 = 10 Ω. Memory Trick: 3 ÷ 0.3 = 10.
BankQuestionID,B-005-004-011
,
question,"In a parallel circuit with a voltage source and several branch resistors, how is the total current related to the current in the branch resistors?"
optionA,It equals the sum of the branch current through each resistor
optionB,It equals the average of the branch current through each resistor
optionC,It decreases as more parallel resistors are added
optionD,It is the sum of each resistor's voltage drop multiplied by the number of resistors
